request,pid,process,rss_mb,private_mb,system_used_mb
1,4136,ollama app.exe,46.0,55.5,21231.0
1,28936,ollama.exe,92.0,110.8,21231.0
1,31692,llama-server.exe,7619.0,8147.9,21231.0
2,4136,ollama app.exe,46.0,55.5,22864.5
2,28936,ollama.exe,91.7,110.6,22864.5
2,31692,llama-server.exe,9255.5,9787.6,22864.5
3,4136,ollama app.exe,46.0,55.5,24470.6
3,28936,ollama.exe,92.2,111.1,24470.6
3,31692,llama-server.exe,10886.4,11421.7,24470.6
4,4136,ollama app.exe,46.0,55.5,26130.7
4,28936,ollama.exe,92.4,111.3,26130.7
4,31692,llama-server.exe,12510.2,13048.6,26130.7
5,4136,ollama app.exe,46.0,55.5,27111.5
5,28936,ollama.exe,92.3,111.2,27111.5
5,31692,llama-server.exe,13491.9,14032.3,27111.5
6,4136,ollama app.exe,46.0,55.5,28028.9
6,28936,ollama.exe,92.6,111.4,28028.9
6,31692,llama-server.exe,14479.6,15022.0,28028.9
7,4136,ollama app.exe,46.0,55.5,29029.9
7,28936,ollama.exe,92.4,111.3,29029.9
7,31692,llama-server.exe,15467.6,16011.9,29029.9
8,4136,ollama app.exe,46.0,55.5,30008.3
8,28936,ollama.exe,90.5,109.4,30008.3
8,31692,llama-server.exe,16455.0,17001.1,30008.3
9,4136,ollama app.exe,46.0,55.5,30953.5
9,28936,ollama.exe,92.6,111.5,30953.5
9,31692,llama-server.exe,17442.4,17990.5,30953.5
10,4136,ollama app.exe,46.0,55.5,30912.7
10,28936,ollama.exe,92.7,111.6,30912.7
10,31692,llama-server.exe,17379.3,17927.3,30912.7
11,4136,ollama app.exe,46.0,55.5,30910.1
11,28936,ollama.exe,93.3,112.2,30910.1
11,31692,llama-server.exe,17379.3,17927.3,30910.1
12,4136,ollama app.exe,46.3,55.5,30913.5
12,28936,ollama.exe,91.1,109.9,30913.5
12,31692,llama-server.exe,17379.3,17927.3,30913.5
