request,pid,process,rss_mb,private_mb,system_used_mb
1,4136,ollama app.exe,45.0,53.9,21860.7
1,20048,llama-server.exe,7952.1,8481.6,21860.7
1,28936,ollama.exe,93.5,112.4,21860.7
2,4136,ollama app.exe,45.0,53.9,22109.1
2,20048,llama-server.exe,8143.8,8673.6,22109.1
2,28936,ollama.exe,92.5,111.4,22109.1
3,4136,ollama app.exe,45.0,53.9,22296.5
3,20048,llama-server.exe,8327.6,8857.9,22296.5
3,28936,ollama.exe,92.7,111.6,22296.5
4,4136,ollama app.exe,45.0,53.9,22557.0
4,20048,llama-server.exe,8503.7,9034.3,22557.0
4,28936,ollama.exe,91.8,110.7,22557.0
5,4136,ollama app.exe,45.0,53.9,23113.7
5,20048,llama-server.exe,8687.6,9218.5,23113.7
5,28936,ollama.exe,90.3,109.2,23113.7
6,4136,ollama app.exe,45.0,53.9,23281.9
6,20048,llama-server.exe,8880.7,9412.0,23281.9
6,28936,ollama.exe,90.8,109.7,23281.9
7,4136,ollama app.exe,45.0,53.9,23381.9
7,20048,llama-server.exe,9073.8,9605.5,23381.9
7,28936,ollama.exe,93.6,112.5,23381.9
8,4136,ollama app.exe,45.0,53.9,23606.5
8,20048,llama-server.exe,9266.5,9798.5,23606.5
8,28936,ollama.exe,94.0,112.9,23606.5
9,4136,ollama app.exe,45.0,53.9,23782.0
9,20048,llama-server.exe,9459.1,9991.6,23782.0
9,28936,ollama.exe,90.3,109.5,23782.0
10,4136,ollama app.exe,45.0,53.9,24226.0
10,20048,llama-server.exe,9653.2,10186.0,24226.0
10,28936,ollama.exe,93.8,112.9,24226.0
11,4136,ollama app.exe,45.0,53.9,24371.4
11,20048,llama-server.exe,9838.5,10371.7,24371.4
11,28936,ollama.exe,92.0,111.1,24371.4
12,4136,ollama app.exe,45.0,53.9,24586.0
12,20048,llama-server.exe,10022.8,10556.4,24586.0
12,28936,ollama.exe,92.4,111.6,24586.0
