request,pid,process,rss_mb,private_mb,system_used_mb
1,4136,ollama app.exe,45.3,54.4,21106.5
1,20048,llama-server.exe,7461.1,7989.6,21106.5
1,28936,ollama.exe,93.6,112.5,21106.5
2,4136,ollama app.exe,45.3,54.4,21106.8
2,20048,llama-server.exe,7461.6,7990.1,21106.8
2,28936,ollama.exe,93.2,112.1,21106.8
3,4136,ollama app.exe,45.3,54.4,21096.7
3,20048,llama-server.exe,7461.6,7990.2,21096.7
3,28936,ollama.exe,93.5,112.4,21096.7
4,4136,ollama app.exe,45.3,54.4,21073.7
4,20048,llama-server.exe,7461.6,7990.2,21073.7
4,28936,ollama.exe,93.3,112.2,21073.7
5,4136,ollama app.exe,45.3,54.3,21064.6
5,20048,llama-server.exe,7461.7,7990.2,21064.6
5,28936,ollama.exe,93.5,112.4,21064.6
6,4136,ollama app.exe,45.3,54.3,21054.0
6,20048,llama-server.exe,7461.7,7990.2,21054.0
6,28936,ollama.exe,92.8,111.7,21054.0
7,4136,ollama app.exe,45.3,54.3,21053.1
7,20048,llama-server.exe,7461.7,7990.2,21053.1
7,28936,ollama.exe,91.8,110.7,21053.1
8,4136,ollama app.exe,45.3,54.3,21041.5
8,20048,llama-server.exe,7461.7,7990.4,21041.5
8,28936,ollama.exe,92.7,111.6,21041.5
9,4136,ollama app.exe,45.4,54.3,21107.0
9,20048,llama-server.exe,7461.7,7990.4,21107.0
9,28936,ollama.exe,87.6,106.5,21107.0
10,4136,ollama app.exe,45.4,54.3,21106.4
10,20048,llama-server.exe,7461.7,7990.3,21106.4
10,28936,ollama.exe,92.9,111.9,21106.4
11,4136,ollama app.exe,45.4,54.3,21067.2
11,20048,llama-server.exe,7461.7,7990.3,21067.2
11,28936,ollama.exe,90.5,109.5,21067.2
12,4136,ollama app.exe,45.4,54.3,21040.7
12,20048,llama-server.exe,7461.7,7990.3,21040.7
12,28936,ollama.exe,88.6,107.5,21040.7
